Inventory aging report,,,,,,,,,,Page 1 of 1,,,
,,,,,,,,,,"3/27/2026
10:44 AM",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,0-30 (Days),31-60 (Days),61-90 (Days),91-180 (Days),180+ Prior date,,,,
Item number,Product name,Inventory unit,Configuration,On-hand quantity,P1:Quantity,P2:Quantity,P3:Quantity,P4:Quantity,P5:Quantity,,,,
1000002120,52/SCRD,Bag,MP/MV 80/20 MICRO COMPACT,61.00,61.00,0.00,0.00,0.00,0.00,,,,
1000002200,56/SCRD,Bag,100% MICRO TENCEL,131.64,0.00,0.00,0.00,0.00,131.64,,,,
1000002360,60/SCRD,Bag,100% MICRO POLYESTER,179.89,0.00,179.89,0.00,0.00,0.00,,,,
1000002360,60/SCRD,Bag,100% MICRO VISCOSE,46.00,46.00,0.00,0.00,0.00,0.00,,,,
1000002360,60/SCRD,Bag,MICRO POLY/ M.MODAL 65:35,4.00,0.00,0.00,4.00,0.00,0.00,,,,
1000002360,60/SCRD,Bag,MICRO POLY/MICRO MODAL 50:50,1.00,0.00,0.00,1.00,0.00,0.00,,,,
1000002360,60/SCRD,Bag,MICRO POLY/MICRO VISCOSE 50/50,129.78,0.00,2.78,127.00,0.00,0.00,,,,
1000002360,60/SCRD,Bag,MP/MB 80/20 (MICRO POLY/BAMBOO),2.00,0.00,0.00,0.00,0.00,2.00,,,,
1000002360,60/SCRD,Bag,MP/MV 70/30,582.00,0.00,0.00,0.00,0.00,582.00,,,,
1000002360,60/SCRD,Bag,MP/MV 70/30 MICRO COMPACT,28.00,0.00,0.00,28.00,0.00,0.00,,,,
1000002360,60/SCRD,Bag,MP/MV 80/20 MICRO COMPACT,769.49,0.00,4.00,738.95,26.54,0.00,,,,
1000002360,60/SCRD,Bag,MPMM (80:20) MICRO POLY/MICRO MODAL,12.00,0.00,0.00,0.00,0.00,12.00,,,,
1000002360,60/SCRD,Bag,PV 80:20,145.42,0.00,0.00,0.00,1.00,144.42,,,,
1000002360,60/SCRD,Bag,PV 80:20 ( MICRO/ MICRO),42.00,40.00,0.00,0.00,2.00,0.00,,,,
1000002360,60/SCRD,Bag,SWISS VISCOSE (100%),2.00,2.00,0.00,0.00,0.00,0.00,,,,
1000002380,60/SCMB,Bag,CVC 60:40,0.11,0.00,0.00,0.00,0.00,0.11,,,,
1000002380,60/SCMB,Bag,MICRO BAMBOO - CMB PAK COTTON 50-50 YARN FOE WEAVING,109.42,0.00,0.00,0.00,0.00,109.42,,,,
