KOHAT TEXTILE MILLS LIMITED,,,,,,,,,
,,,,,,,,,
On-Hand Inventory,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item,,Item Name,,Configuration,Size ,Color ,Style,Warehouse,Qty
EL71502610,,CABLE,,-,-,-,SAURER/-/-,KTM-MNSTR,33.00
EL71502610,,CABLE,,-,COMMUNICATION/-,-,-,KTM-MNSTR,3.00
EL71502610,,CABLE,,-,STECKER D95-X3 KPL/M 15 POL,-,-,KTM-MNSTR,2.00
EL71502620,,CABLE,,PVC,-/7\29-1CORE,-,-,KTM-MNSTR,3.00
EL71502620,,CABLE,,PVC,FLEXIBLE/0.5MM-1 CORE,-/BLUE,-,KTM-MNSTR,2.00
EL71502640,,CABLE FOC,,-,-,-,-,KTM-MNSTR,4.00
EL71502640,,CABLE FOC,,-,CONNECTING WITH RJ-45/-,-,CHINA/-/B 9589,KTM-MNSTR,2.00
EL71502640,,CABLE FOC,,-,CONNECTING/-,-,CHINA/-/B 9589,KTM-MNSTR,3.00
EL71502640,,CABLE FOC,,-,CONTROL WITH JACK/-,-,-,KTM-MNSTR,2.00
EL71502640,,CABLE FOC,,-,FLEXIABLE/4CORE,-,ITALY/MARZOLI/FT6E,KTM-MNSTR,1.00
EL71502640,,CABLE FOC,,-,FOR EMERGENCY SWITCH/-,RED,ITALY/MARZOLI/FT6E,KTM-MNSTR,2.00
EL71503005,,CABLE NUMBERING,,-, A TO Z/-,-,-,KTM-MNSTR,2.00
EL71503400,,CABLE TIE,,NYLON,"-/12""",-,-,KTM-MNSTR,1.00
EL71503400,,CABLE TIE,,NYLON,"-/4""",-,-,KTM-MNSTR,22.00
EL71503400,,CABLE TIE,,NYLON,"-/8""",-,-,KTM-MNSTR,10.00
EL71503500,,SENSOR,,-,-,-,-,KTM-MNSTR,20.00
EL71503500,,SENSOR,,-,-/11MM 30 VDC/PNP,-,-,KTM-MNSTR,12.00
EL71503500,,SENSOR,,-,-/DJ-2G -2WIRE,-,-/-/MK-4,KTM-MNSTR,3.00
EL71503500,,SENSOR,,-,DOFFING/-,-,-,KTM-MNSTR,2.00
EL71503500,,SENSOR,,-,DRUM /-,-,MURATA/-/-,KTM-MNSTR,8.00
EL71503500,,SENSOR,,-,HANK METER PNP/-,-,-,KTM-MNSTR,9.00
EL71503500,,SENSOR,,-,M 12/4MM,-,-,KTM-MNSTR,3.00
EL71503500,,SENSOR,,-,NPN /10~30V DC 12MM,-,-,KTM-MNSTR,2.00
EL71503500,,SENSOR,,-,"NPN, W12 NCL /10~30V DC",-,-,KTM-MNSTR,1.00
EL71503500,,SENSOR,,-,PNP /10~30V DC 18MM,-,-,KTM-MNSTR,2.00
EL71503500,,SENSOR,,-,PNP MAGNET/10~30V DC 18MM,-,-,KTM-MNSTR,4.00
